dataset,method,seed,trtr_accuracy,trtr_f1,trtr_auroc,tstr_accuracy,tstr_f1,tstr_auroc,gap_accuracy,gap_f1,gap_auroc,mean_numeric_abs_mean_diff,mean_numeric_abs_std_diff,mean_categorical_tvd,mean_cross_modal_abs_diff
weak_multimodal_gemini,gaussian_copula,42,1.0,1.0,1.0,0.9403698133238964,0.6602822580645161,0.9966814405767327,-0.05963018667610365,-0.3397177419354839,-0.003318559423267309,0.7819277654941347,0.6056005088758561,0.0032327235997139272,0.15901553269075108
weak_multimodal_gemini,gaussian_copula,123,1.0,1.0,1.0,0.9433778642838184,0.684106614017769,0.9973520036026089,-0.056622135716181576,-0.31589338598223105,-0.002647996397391106,0.4839468325762004,0.7759665293482101,0.003956900483903863,0.16083627460795355
weak_multimodal_gemini,gaussian_copula,2024,1.0,1.0,1.0,0.9430239759355923,0.6802383316782522,0.9962543052677546,-0.056976024064407715,-0.3197616683217478,-0.003745694732245397,0.6028710612369796,3.902008219048061,0.003413933801754233,0.16153806917959443
weak_multimodal_gemini,random_forest,42,1.0,1.0,1.0,0.9990268070423781,0.9958568738229755,0.9998995822774315,-0.0009731929576218823,-0.004143126177024503,-0.00010041772256852433,1.5115689531865582,9.507841858916045,0.053332691650753626,0.12172461429045371
weak_multimodal_gemini,random_forest,123,1.0,1.0,1.0,0.9954879235601168,0.9810760667903525,0.9999326253921785,-0.004512076439883161,-0.01892393320964747,-6.737460782146876e-05,0.5897040629921587,4.7019042907666275,0.055230521947706925,0.17304688485250605
weak_multimodal_gemini,random_forest,2024,1.0,1.0,1.0,0.9968150048659647,0.9865571321882002,0.9997092054328338,-0.003184995134035251,-0.013442867811799819,-0.000290794567166186,2.476517739342064,15.088684758148382,0.05448288027250007,0.13626466700616258
weak_multimodal_gemini,xgboost,42,1.0,1.0,1.0,0.9760240644076794,0.9048789048789049,0.9943697109227653,-0.023975935592320585,-0.09512109512109512,-0.005630289077234729,0.6906068213982753,8.33721923844755,0.06253861167021792,0.3277547630886575
weak_multimodal_gemini,xgboost,123,1.0,1.0,1.0,0.9760240644076794,0.9065194894791307,0.9963297132933815,-0.023975935592320585,-0.09348051052086925,-0.0036702867066185085,0.7215935211844553,6.717418454559275,0.06315593009567484,0.32152414453423456
weak_multimodal_gemini,xgboost,2024,1.0,1.0,1.0,0.9716004600548527,0.889500860585198,0.9937221871328596,-0.028399539945147323,-0.11049913941480205,-0.006277812867140353,2.9383987682875627,14.259323106735476,0.06744444002074226,0.3209187109187109
adult_income,independent,42,0.8535746458111538,0.6605922551252847,0.9060608659687344,0.7596429448857588,0.0040719375636240245,0.5558163523730975,-0.09393170092539505,-0.6565203175616607,-0.3502445135956369,146.39779088080067,558.0626295681344,0.006764183148383218,
adult_income,independent,123,0.8502989108181148,0.654572940287226,0.9054841495932314,0.7603799852591925,0.0013651877133105802,0.6162898179671126,-0.08991892555892234,-0.6532077525739154,-0.28919433162611885,70.66786996983592,248.7318535042031,0.006923499583691618,
adult_income,independent,2024,0.8545573663090656,0.6637637258614161,0.9073626272167392,0.7598886250102367,0.0006816632583503749,0.5280502966975209,-0.09466874129882896,-0.6630820626030657,-0.3793123305192183,240.07088298049652,744.9872167031581,0.006184673368548931,
adult_income,gaussian_copula,42,0.8535746458111538,0.6605922551252847,0.9060608659687344,0.8096797969044305,0.4498106060606061,0.8098634250442609,-0.04389484890672335,-0.21078164906467867,-0.09619744092447347,82.85756568800124,583.9944037462853,0.005991891882669282,
adult_income,gaussian_copula,123,0.8502989108181148,0.654572940287226,0.9054841495932314,0.7991974449267054,0.40340632603406323,0.7893066832782792,-0.0511014658914094,-0.2511666142531628,-0.11617746631495218,28.326416177330543,59.19584313162483,0.0072106237118327084,
adult_income,gaussian_copula,2024,0.8545573663090656,0.6637637258614161,0.9073626272167392,0.8083695029072148,0.43938667944417825,0.8076193394128122,-0.04618786340185088,-0.22437704641723782,-0.09974328780392705,60.90800592864055,296.46468261693406,0.007526214118995951,
adult_income,random_forest,42,0.8535746458111538,0.6605922551252847,0.9060608659687344,0.8049299811645237,0.33980044345898003,0.8748103801063263,-0.04864466464663009,-0.3207918116663047,-0.031250485862408084,128.4325278940252,572.1782905505972,0.0669653443757422,
adult_income,random_forest,123,0.8502989108181148,0.654572940287226,0.9054841495932314,0.8092703300303006,0.4032795285677684,0.8774371687339444,-0.04102858078781424,-0.2512934117194576,-0.02804698085928703,94.27446680316298,275.94473865759437,0.06678637613802328,
adult_income,random_forest,2024,0.8545573663090656,0.6637637258614161,0.9073626272167392,0.8150847596429449,0.43123425692695216,0.8787399431547429,-0.039472606666120735,-0.2325294689344639,-0.028622684061996306,197.61483431200227,913.0858307957591,0.0753800417673314,
adult_income,xgboost,42,0.8535746458111538,0.6605922551252847,0.9060608659687344,0.7990336581770535,0.29279538904899133,0.8543225156689936,-0.05454098763410031,-0.3677968660762934,-0.05173835029974072,118.24590013649784,635.22220588609,0.12390054802560639,
adult_income,xgboost,123,0.8502989108181148,0.654572940287226,0.9054841495932314,0.7900253869461961,0.22350090854027863,0.808736316364568,-0.060273523871918755,-0.4310720317469474,-0.09674783322866343,402.70077126380517,828.8592074239825,0.14353528213422875,
adult_income,xgboost,2024,0.8545573663090656,0.6637637258614161,0.9073626272167392,0.7991155515518794,0.29083550159005495,0.856891479762076,-0.055441814757186236,-0.37292822427136113,-0.05047114745466319,504.798384312002,1137.2919638053131,0.11824738135211499,
german_credit,independent,42,0.776,0.8494623655913979,0.7955047619047619,0.7,0.8235294117647058,0.4195047619047618,-0.07600000000000007,-0.02593295382669203,-0.3760000000000001,12.720999999999991,1.7656088823333942,0.004518518518518529,
german_credit,independent,123,0.752,0.8315217391304348,0.7911619047619047,0.7,0.8235294117647058,0.5493333333333333,-0.052000000000000046,-0.007992327365728968,-0.2418285714285714,8.838555555555486,9.503083867995912,0.005023148148148151,
german_credit,independent,2024,0.724,0.8099173553719008,0.7631238095238094,0.7,0.8235294117647058,0.5517714285714286,-0.02400000000000002,0.01361205639280505,-0.21135238095238085,7.907722222222268,15.923133519887509,0.005532407407407404,
german_credit,gaussian_copula,42,0.776,0.8494623655913979,0.7955047619047619,0.724,0.8337349397590361,0.7933714285714285,-0.052000000000000046,-0.015727425832361752,-0.0021333333333334314,10.292694444444518,16.22448274831658,0.004712962962962958,
german_credit,gaussian_copula,123,0.752,0.8315217391304348,0.7911619047619047,0.724,0.8329297820823245,0.7947428571428572,-0.028000000000000025,0.0014080429518896764,0.0035809523809524624,1.9712777777777835,4.928005512871346,0.0045879629629629525,
german_credit,gaussian_copula,2024,0.724,0.8099173553719008,0.7631238095238094,0.728,0.8341463414634146,0.7367619047619047,0.0040000000000000036,0.024228986091513804,-0.026361904761904698,6.47327777777782,0.48651276905428276,0.005240740740740737,
german_credit,random_forest,42,0.776,0.8494623655913979,0.7955047619047619,0.7,0.8235294117647058,0.6515809523809524,-0.07600000000000007,-0.02593295382669203,-0.14392380952380956,183.4872222222222,15.665241237601125,0.10749537037037037,
german_credit,random_forest,123,0.752,0.8315217391304348,0.7911619047619047,0.7,0.8235294117647058,0.5983238095238095,-0.052000000000000046,-0.007992327365728968,-0.19283809523809525,139.58919444444442,9.103820956932617,0.11453703703703705,
german_credit,random_forest,2024,0.724,0.8099173553719008,0.7631238095238094,0.7,0.8235294117647058,0.5264,-0.02400000000000002,0.01361205639280505,-0.23672380952380945,159.58202777777782,11.399106023669267,0.10148148148148148,
german_credit,xgboost,42,0.776,0.8494623655913979,0.7955047619047619,0.7,0.8235294117647058,0.5961142857142857,-0.07600000000000007,-0.02593295382669203,-0.19939047619047623,99.17863888888894,183.07370471997004,0.12981018518518522,
german_credit,xgboost,123,0.752,0.8315217391304348,0.7911619047619047,0.668,0.7774798927613941,0.6149333333333333,-0.08399999999999996,-0.05404184636904075,-0.1762285714285714,68.15141666666666,155.7344167142197,0.11840740740740745,
german_credit,xgboost,2024,0.724,0.8099173553719008,0.7631238095238094,0.472,0.49230769230769234,0.5527619047619048,-0.252,-0.31760966306420846,-0.21036190476190464,53.69361111111118,174.83754618322033,0.11968055555555557,
